OWNER,VESSEL,Charterer,Size,Grade,Load,Disch.,Date,$,Rate,Comment,Status,Month,YEAR,LR1/LR2,Load Region,Disc Region,Decade
STRAITS,NEW CONFIDENCE,ENOC,"60,000",UMS,AG,EAFR,1-May-2017,WS,105.0,,FXD,5,2017,#REF!,AG,EAFR,1
PRIME,WALLEYE,ENOC,"60,000",UMS,SIKKA,AG,1-May-2017,$,"210,000.0",,FXD,5,2017,#REF!,WCI,AG,1
ST SHIPPING,ALPINE AQUALINA,CNR,"80,000",GO,ulsan,tanjung pelepas,2-May-2017,RNR,RNR,,FXD,5,2017,#REF!,NASIA,SEA,1
ST SHIPPING,ALPINE PERSEFONE,CNR,"60,000",CPP,bandar mahshahr,fujairah,2-May-2017,RNR,RNR,,FXD,5,2017,#REF!,AG,AG,1
HEIDMAR,ESTIA ,CNR,"60,000",CPP,pengerang,tanjung sekong,2-May-2017,RNR,RNR,,FXD,5,2017,#REF!,SEA,SEA,1
OTC,HONG ZE HU,VITOL,"50,000",NAP,sriracha + bataan,singapore,2-May-2017,RNR,RNR,,FXD,5,2017,#REF!,SEA,SEA,1
STRAITS,PHOENIX DREAM,CNR,"75,000",CPP,KUWAIT,OPTIONS,2-May-2017,RNR,RNR,,FXD,5,2017,#REF!,AG,TBN,1
SKS,SKS DARENT,TRAFIGURA,"80,000",COND,BAYU UNDAN,OPTIONS,2-May-2017,WS,RNR,,FXD,5,2017,#REF!,SEA,TBN,1
MAERSK,LR2 PIONEER,SOCAR,"75,000",NAP,ras laffan+messaieed,yosu + daesan,2-May-2017,WS,85.0,BSS JAPAN,FXD,5,2017,#REF!,AG,NASIA,1
GEM,Gulf Coral,AMPOL,"60,000",JET,yangpu,botany bay,3-May-2017,WS,107.5,,FXD,5,2017,#REF!,SCHINA,OZ,1
HEIDMAR,QI LIN ZUO,WINSON,"60,000",GO,SPORE,TAIWAN,3-May-2017,RNR,RNR,,FXD ,5,2017,#REF!,SEA,TAIWAN,1
TORM,TORM SIGNE,CLEARLAKE,"60,000",UMS,FUJAIRAH,PAKISTAN,3-May-2017,$,"200,000.0",,FXD,5,2017,#REF!,AG,WCI,1
ADNATCO,MEZAIRA'A,SHELL,"55,000",NAP,ras laffan,anyer,3-May-2017,WS,100.0,,FXD,5,2017,#REF!,AG,SEA,1
MAERSK,MAERSK PELICAN,PETREDEC,"75,000",NAP,ruwais,yosu,3-May-2017,WS,85.0,BSS JAPAN,FXD,5,2017,#REF!,AG,NASIA,1
KOCH,MERKUR O ,NESTE,"65,000",JET,sikka,fiumicino,4-May-2017,$,"1,075,000.0",BSS UKC,FXD,5,2017,#REF!,WCI,MED,1
SHELL,NAN LIN WAN,SHELL+ENOC,"80,000",UMS,quanzhou+kaohsiung,singapore,4-May-2017,RNR,RNR,"CO-LOAD, VESSEL IS A N/B ",FXD,5,2017,#REF!,SCHINA+TAIWAN,SEA,1
NYK,CHAMPION PLEASURE,AMPOL,"80,000",CPP,daesan,botany bay ,5-May-2017,RNR,RNR,,FXD,5,2017,#REF!,NASIA,OZ,1
HEIDMAR,DUBAI BRILLIANCE,WINSON,"60,000",GO,singapore,hong kong+yangshan,5-May-2017,$,"325,000.0",BSS TAIWAN,FXD,5,2017,#REF!,SEA,SCHINA,1
ST SHIPPING,FRONT PANTHER,UNIPEC,"80,000",ULSD,yanbu,amsterdam,5-May-2017,COA,COA,RPTD 90 @ WS 85 AND $1.2,FXD,5,2017,#REF!,RSEA,UKC,1
ST SHIPPING,RAYSUT,VITOL,"60,000",ULSD,AG,SINGAPORE,5-May-2017,WS,107.5,BSS SPORE,FXD,5,2017,#REF!,AG,SEA,1
UPT,CAPE TEES,ATC,"55,000",NAP,ras tanura,map ta phut,5-May-2017,WS,105.0,BSS JAPAN - P+C OURS ,FXD,5,2017,#REF!,AG,SEA,1
STRAITS,PHOENIX DREAM,CNR,"75,000",NAP,mina al ahmadi+mina abdulla,chiba,5-May-2017,RNR,RNR,,FXD,5,2017,#REF!,AG,NASIA,1
STRAITS,FORTUNE VICTORIA,RELIANCE,"60,000",ALKY,SIKKA,USAC,6-May-2017,$,"1,325,000.0",BSS USAC,FXD,5,2017,#REF!,WCI,WCI,1
STRAITS,NORSTAR INTREPID O/O,TOTAL,"65,000",JET,SIKKA,UKC-OPTIONS,6-May-2017,$,"1,050,000.0",BSS UKC,FXD,5,2017,#REF!,WCI,UKC,1
SKS,SKS DELTA,ST SHIPPING,"90,000",COND,AG,SINGAPORE,6-May-2017,WS,82.5,BSS SING,FXD,5,2017,#REF!,AG,SEA,1
SCORPIO,STI BROADWAY,ATC,"80,000",ULSD,sikka,mombasa,6-May-2017,WS,80.0,BSS EAFR,FXD,5,2017,#REF!,WCI,EAFR,1
ST SHIPPING,SANMAR SANGEET,SHELL,"75,000",NAP,ras laffan,singapore+mailiao+huizhou,6-May-2017,RNR,RNR,,FXD,5,2017,#REF!,AG,SCHINA,1
SK ENERGY,PRO TRIUMPH ,ITOCHU,"75,000",NAP,sikka+kochi,oita+daesan,6-May-2017,WS,85.5,BSS JAPAN,FXD,5,2017,#REF!,WCI,NASIA,1
SCORPIO,STI SPIGA,ATC ?,"75,000",NAP,ras laffan,singapore,6-May-2017,RNR,RNR,,FXD,5,2017,#REF!,AG,SEA,1
FRONTLINE,FRONT ALTAIR,SHELL,"90,000",GO,sikka,singapore,7-May-2017,$,"1,300,000.0",LVL BSS UKC ,FXD,5,2017,#REF!,WCI,SEA,1
ADNATCO,DIYYINAH-I,ATC,"60,000",JET,jubail,jebel ali,7-May-2017,$,"170,000.0",BSS UAE ,FXD ,5,2017,#REF!,AG,AG,1
STRAITS,MARITINA,BP,"60,000",CPP,bahain,fujairah,7-May-2017,$,"200,000.0",BSS JEBEL ALI,FXD,5,2017,#REF!,AG,AG,1
AMPTC,STAR ENERGY,SK ENERGY,"130,000",COND,RAS LAFFAN ,SKOREA-OPTS,7-May-2017,RNR,RNR,,FXD,5,2017,#REF!,AG,NASIA,1
SCORPIO,STI SPIGA,ST SHIPPING,"80,000",COND,AG,SING-SKOREA,7-May-2017,WS,95.0,BSS SING,FXD,5,2017,#REF!,AG,TBN,1
NAVIG8,NAVE CASSIOPEIA,PDC,"55,000",NAP,ruwais,mailiao,7-May-2017,WS,102.5,BSS JAPAN,FXD,5,2017,#REF!,AG,TAIWAN,1
BW,BW AMAZON O/O,TOTAL,"60,000",CPP,jebel ali,karachi,8-May-2017,$,"210,000.0",,FXD,5,2017,#REF!,AG,WCI,1
TRAFIGURA,FREIGHT MARGIE,CNR,"60,000",CPP,incheon,kaohsiung,8-May-2017,RNR,RNR,,FXD,5,2017,#REF!,NASIA,TAIWAN,1
STRAITS,KONG QUE ZUO,VITOL,"60,000",GO,vadinar,tanjung pelepas,8-May-2017,WS,105.0,BSS SING,FXD,5,2017,#REF!,WCI,SEA,1
PRIME,SAUGER,ST SHIPPING,"60,000",ALKY,SIKKA,USAC-OPTS,8-May-2017,$,"1,350,000.0",BSS USAC,FXD,5,2017,#REF!,WCI,USAC,1
CARGILL,JING YU ZUO,ATC,"55,000",NAP,sikka,mailiao,8-May-2017,WS,100.0,BSS JAPAN,FXD,5,2017,#REF!,WCI,TAIWAN,1
PETROLIMEX,VAN PHONG 1,MARUBENI,"75,000",NAP,ras laffan,muroran+nagoya+oita,8-May-2017,WS,85.0,BSS JAPAN,FXD,5,2017,#REF!,AG,NASIA,1
NYK,CHAMPION PRINCE,AMPOL?,"75,000",CPP,onsan,brisbane + botany bay,9-May-2017,WS,RNR,,FXD,5,2017,#REF!,NASIA,OZ,1
VITOL,ELANDRA EAGLE ,TRAFIGURA,"130,000",ULSD,sikka,nigeria,9-May-2017,$,"1,500,000.0","RPTD - BSS UKC, $1.4 BSS WAFR - NEWBUILD",FXD,5,2017,#REF!,WCI,WAFR,1
FORMOSA,FS ENDEAVOR,WINSON,"90,000",GO,yosu,kaohsiung,9-May-2017,RNR,RNR,,FXD,5,2017,#REF!,NASIA,TAIWAN,1
R-SHIPPING,GEORGIA M,CNR,"60,000",CPP,sikka,gibraltar,9-May-2017,RNR,RNR,,FXD,5,2017,#REF!,WCI,MED,1
ZODIAC,KINGS ROAD ,ATC,"60,000",CPP,jubail,mombasa,9-May-2017,WS,105.0,,FXD,5,2017,#REF!,AG,EAFR,1
ST SHIPPING,NAVE ANDROMEDA,AL GHURAIR,"60,000",UMS,sikka,fujairah,9-May-2017,$,"205,000.0",BSS AG,FXD,5,2017,#REF!,WCI,AG,1
NAVIG8 ,KLEON,ITOCHU,"75,000",NAP,ruwais,tokuyama + muroran,9-May-2017,WS,85.0,BSS JAPAN,FXD,5,2017,#REF!,AG,NASIA,1
NAVIG8 ,NAVIG8 GLADIATOR,SOCAR,"75,000",NAP,ras laffan,daesan+yosu,9-May-2017,WS,85.0,BSS JAPAN,FXD,5,2017,#REF!,AG,NASIA,1
TOTAL,NISSOS CHRISTIANA,TOTAL,"75,000",NAP,ruwais,mailiao+korea,9-May-2017,OP,OP,,FXD,5,2017,#REF!,AG,AG,1
ST SHIPPING,ALPINE PERSEFONE,CNR,"60,000",CPP,bandar mahshahr,FUJAIRAH+SING+TWN,10-May-2017,RNR,RNR,,FXD,5,2017,#REF!,AG,TBN,1
BW,BW TAGUS,TOTAL,"60,000",UMS,jubail,jebel ali,10-May-2017,$,"170,000.0",,FXD,5,2017,#REF!,AG,AG,1
BW,BW THAMES,TRAFIGURA,"60,000",UMS,yanbu ,jebel ali ,10-May-2017,WS,112.5,BSS SING,FXD,5,2017,#REF!,RSEA,AG,1
PRIME,FLAGSHIP WILLOW,P66,"60,000",ULSD+JET,kawasaki,quintero,10-May-2017,$,"350,000.0",BSS SING,FXD,5,2017,#REF!,NASIA,WCSAM,1
FRONTLINE ,FRONT CORAL,TRAFIGURA,"130,000",GO,ulsan,luanda,10-May-2017,RNR,RNR,NEWBUILD,FXD,5,2017,#REF!,NASIA,WAFR,1
GESCO,JAG APARNA ,TRAFIGURA,"60,000",UMS,vadinar,fujairah,10-May-2017,$,"235,000.0",BSS FUJAIRAH - WS 115 BSS SPORE,FXD,5,2017,#REF!,WCI,AG,1
MAERSK,MAERSK PENGUIN,CLEARLAKE,"80,000",UMS,yangpu + mailiao,fujairah,10-May-2017,$,"500,000.0",LVL OXY FREE - VESSEL EX D/D,FXD ,5,2017,#REF!,SCHINA+TAIWAN,AG,1
DYNACOM,CONSTANTINOS,ATC,"55,000",NAP,ras tanura,ulsan,10-May-2017,WS,117.5,PVT HOWE ROB,FXD,5,2017,#REF!,AG,NASIA,1
DYNACOM,MAISTROS,TRAFIGURA,"55,000",NAP,rabigh,vizag + haldia,10-May-2017,WS,132.5,BSS HALDIA ,FXD,5,2017,#REF!,RSEA,ECI,1
HEIDMAR,YANG LI HU,YNCC,"75,000",NAP,mina al ahmadi,yosu,10-May-2017,WS,85.0,BSS JAPAN,FXD,5,2017,#REF!,AG,NASIA,1
SHELL,PACIFIC A.DORODCHI,SHELL,"90,000",JET,SKOREA,SING-UKC-OPTS,11-May-2017,OP,OP,,FXD,5,2017,#REF!,NASIA,TBN,2
UPT,CAPE TAFT,CNR,"60,000",CPP,ulsan,singapore,11-May-2017,RNR,RNR,,FXD,5,2017,#REF!,NASIA,SEA,2
ARGYLL,FOTINI LADY,CNR,"60,000",CPP,jubail,rast tanura,11-May-2017,RNR,RNR,,FXD,5,2017,#REF!,AG,AG,2
STRAITS,MARI UGLAND,CLEARLAKE,"60,000",CPP,fujairah,karachi,11-May-2017,$,"250,000.0",BSS KARACHI,FXD,5,2017,#REF!,AG,WCI,2
CARGILL,MEI LIN WAN,MARUBENI,"75,000",NAP,bahrain + ruwais,chiba + yokkaichi,11-May-2017,PLATTS,PLATTS,,FXD,5,2017,#REF!,AG,NASIA,2
ATC,ELKA ATHINA,ATC,"80,000",ULSD,yanbu,suez bay sts ,12-May-2017,OP,OP,,FXD,5,2017,#REF!,RSEA,RSEA,2
FRONTLINE,FRONT VEGA,RESOURCE,"90,000",ULSD,sikka,tanjung pelepas,12-May-2017,$,"1,300,000.0",BSS UKC,FXD,5,2017,#REF!,WCI,SEA,2
STRAITS,TWO MILLION WAYS ,CNR,"55,000",NAP,houston,kaohsiung,12-May-2017,RNR,RNR,,FXD,5,2017,#REF!,USG,TAIWAN,2
SHELL ,PACIFIC SARAH,SHELL?,"60,000",GO,yosu,taichung+hong kong,12-May-2017,OP,OP,,FXD,5,2017,#REF!,NASIA,TAIWAN+SCHINA,2
PRIME,FLAGSHIP LOTUS,SHELL,"55,000",NAP,jubail,pasir gudang + pulau bukom,12-May-2017,WS,110.0,BSS JAPAN,FXD,5,2017,#REF!,AG,SEA,2
ST SHIPPING,ALPINE PERSEFONE,CNR,"55,000",NAP,bandar mahshahr,kaohsiung,12-May-2017,RNR,RNR,,FXD,5,2017,#REF!,AG,TAIWAN,2
ARGYLL,ASHLEY LADY ,BP,"90,000",ULSD,ruwais,mombasa,13-May-2017,WS,95.0,BSS SING,FXD,5,2017,#REF!,AG,EAFR,2
BW,BW LENA,AL GHURAIR,"60,000",GO,bahrain,mersin,13-May-2017,$,"900,000.0",BSS IZMIT,FXD,5,2017,#REF!,AG,MED,2
ATC,ELKA APOLLON,ATC,"80,000",ULSD,yanbu,suez sts,13-May-2017,OP,OP,,FXD,5,2017,#REF!,RSEA,RSEA,2
ADNATCO,LIWA-V,ADNATCO,"80,000",COND,ras laffan,ruwais,13-May-2017,OP,OP,,FXD,5,2017,#REF!,AG,AG,2
MAERSK,MAERSK PRIVILEGE ,UNIPEC,"80,000",ULSD,yanbu,antwerp,13-May-2017,$,"1,200,000.0",BSS UKC,FXD,5,2017,#REF!,RSEA,UKC,2
SHELL,SUNRAY,ATC,"60,000",UMS,sikka,ras tanura,13-May-2017,$,"225,000.0",BSS UAE,FXD,5,2017,#REF!,WCI,AG,2
NAVIG8,NAVIG8 STABILITY ,FORMOSA,"75,000",NAP,ruwais,mailiao,13-May-2017,WS,82.5,BSS JAPAN - NO SIRE DUE TO TECH MGMT CHANGE,FXD,5,2017,#REF!,AG,TAIWAN,2
BW,BW DANUBE o/o SHINANO,BP,"60,000",UMS,singapore+pulau bukom,ruwais,14-May-2017,$,"210,000.0",BSS FUJ,FXD,5,2017,#REF!,SEA,AG,2
STRAITS,FPMC P GLORY,ATC,"60,000",UMS,YANBU,AG-EAFR,14-May-2017,WS,115.0,BSS EAFR,FXD,5,2017,#REF!,RSEA,TBN,2
FRONTLINE,FRONT SIRIUS,FREEPOINT,"90,000",ULSD,sikka,singapore,14-May-2017,$,"1,275,000.0",BSS UKC ,FXD,5,2017,#REF!,WCI,SEA,2
TOTAL,SOUTHERN SPIRIT ,TOTAL,"90,000",ULSD,JUBAIL,UKC-SING-EAFR,14-May-2017,OP,OP,,FXD,5,2017,#REF!,AG,TBN,2
CHINA SHIPPING,BAI LU ZUO,PETROCHINA,"60,000",CPP,bayuquan,singapore,15-May-2017,$,"340,000.0",BSS SING,FXD,5,2017,#REF!,NCHINA,SEA,2
GEM,GULF CRYSTAL,AMPOL,"60,000",GO+UMS,singapore,brisbane + botanky bay,15-May-2017,RNR,RNR,,FXD,5,2017,#REF!,SEA,OZ,2
STRAITS,MARIBEL,TOTAL,"60,000",UMS,sikka,cork,15-May-2017,$,"1,425,000.0","BSS USAC, WS 120 BSS SING, $225 AG",FXD,5,2017,#REF!,WCI,WCI,2
NAVIG8,NAVIG8 EXPRESS,OTI,"60,000",UMS,SOHAR,KARACHI,15-May-2017,$,"240,000.0",BSS KARACHI,FXD,5,2017,#REF!,AG,WCI,2
OTC,OCEAN ODYSSEY,OTC,"75,000",CPP,JAPAN,OPTS,15-May-2017,O/P,O/P,NEEDS TRACKING,FXD,5,2017,#REF!,NASIA,TBN,2
RELIANCE,ORANGE STARS,RELIANCE,"100,000",ULSD,SIKKA,SPORE - OPTS,15-May-2017,OP,OP,NEEDS TRACKING ,FXD,5,2017,#REF!,WCI,TBN,2
DYNACOM,SOVEREIGN,VITOL,"60,000",CPP,FUJ,KARACHI,15-May-2017,$,"250,000.0",BSS KARACHI,FXD,5,2017,#REF!,AG,WCI,2
CCI,SUMMIT AFRICA,CNR,"55,000",CPP,DAESAN,TWN-PENGERANG,15-May-2017,RNR,RNR,NEEDS TRACKING,FXD,5,2017,#REF!,NASIA,SEA,2
EASTMED,YPAPANTI,BP,"90,000",JET,AG,UKC-OPTIONS,15-May-2017,$,"1,325,000.0",BSS UKC - 90 @ WS 85 BSS SING,FXD ,5,2017,#REF!,AG,UKC,2
KOCH,SILVAPLANA ,ITOCHU,"75,000",NAP,mina al ahmadi+sitra,yosu+daesan,15-May-2017,WS,87.5,BSS JAPAN,FXD,5,2017,#REF!,AG,NASIA,2
PRIME,WALLEYE,SHELL,"60,000",GO,KUWAIT,LEBANON,16-May-2017,$,"825,000.0",PVT HOWE ROB,FXD,5,2017,#REF!,AG,WMED,2
ROXANA,ALIGOTE,SHELL,"60,000",CPP,jubail,jebel ali,17-May-2017,$,"190,000.0","BSS JEBEL, $250 BSS KARACHI",FXD ,5,2017,#REF!,AG,AG,2
ST SHIPPING,HAIMA,ST SHIPPING,"80,000",ULSD,yanbu,bilbao,17-May-2017,OP,OP,TO COVER UNIPEC COA,FXD,5,2017,#REF!,RSEA,MED,2
STRAITS,N.MARS,VITOL,"60,000",CPP,fujairah,karachi,17-May-2017,$,"250,000.0",BSS KARACHI,FXD,5,2017,#REF!,AG,WCI,2
HEIDMAR,PHOENIX LIGHT ,CNR,"75,000",CPP,AG-WCI,UKC-OPTS,17-May-2017,RNR,RNR,COA - NEEDS TRACKING ,FXD,5,2017,#REF!,AG,UKC,2
TORM,TORM SARA,ATC,"60,000",ULSD,JUBAIL,EAFR,17-May-2017,WS,115.0,BSS EAFR,FXD,5,2017,#REF!,AG,EAFR,2
BP,ENERGY CENTURION,ATC,"55,000",NAP,ras tanura,ulsan,17-May-2017,WS,114.0,ORIGINALLY LR2,FXD ,5,2017,#REF!,AG,NASIA,2
PRIME,FLAGSHIP ORCHID,ITOCHU,"55,000",NAP,sikka,yosu + daesan,17-May-2017,WS,100.0,BSS JAPAN,FXD,5,2017,#REF!,WCI,NASIA,2
ARGYLL,ZENOVIA LADY,ITOCHU,"75,000",NAP,rabigh,kashima+daesan,17-May-2017,WS,120.0,BSS JAPAN,FXD,5,2017,#REF!,RSEA,NASIA,2
ADNATCO,DIYYINAH-I,SHELL,"60,000",CPP,jubail,jebel ali,18-May-2017,$,"150,000.0",BSS CROSS AG,FXD,5,2017,#REF!,AG,AG,2
STRAITS,BLUEBIRD,CNR,"60,000",CPP,sikka,fiumicino,18-May-2017,RNR,RNR,,FXD,5,2017,#REF!,WCI,MED,2
BW,BW KALLANG,TRAFIGURA,"60,000",CPP,daesan,OZZY,18-May-2017,WS,107.5,BSS OZZY,FXD,5,2017,#REF!,NASIA,OZ,2
GEM,GULF VALOUR,VITOL,"80,000",CPP,tanjung pelepas,sydney + geelong,18-May-2017,$,"875,000.0",BSS OZZY,FXD,5,2017,#REF!,SEA,OZ,2
SOVCOMFLOT,NS ASIA,AMPOL,"75,000",CPP,SKOREA,OZZY,18-May-2017,WS,87.5,BSS OZZY,FXD ,5,2017,#REF!,NASIA,OZ,2
SK ENERGY,PRO ALLIANCE,CNR,"75,000",CPP,SKOREA,SINGAPORE,18-May-2017,RNR,RNR,NEEDS TRACKING,FXD,5,2017,#REF!,NASIA,SEA,2
SCORPIO,DENSA ALLIGATOR,CNR,"75,000",NAP,ruwais,map ta phut,18-May-2017,WS,PLATTS,NOT TO BE RPTD ,FXD,5,2017,#REF!,AG,SEA,2
ASAHI,MORNING SWAN,MARUBENI,"55,000",NAP,jebel ali,oita,18-May-2017,WS,106.5,BSS JAPAN,FXD,5,2017,#REF!,AG,NASIA,2
SCORPIO,STI CONNAUGHT,ATC,"75,000",NAP,ras laffan,huizhou,18-May-2017,COA,COA,PVT HOWE ROB - NOT TO BE RPTD ,FXD,5,2017,#REF!,AG,SCHINA,2
GEM,GULF COAST,CNR,"55,000",NAP,ras tanura,singapore,18-May-2017,RNR,RNR,,FXD,5,2017,#REF!,AG,NASIA,1
MENA,BW ZAMBESI,SHELL,"60,000",CPP,jubail,karachi,19-May-2017,$,"190,000.0","BSS JEBEL, $250K BSS KARACHI - TO REPLACE ALIGTOE",FXD ,5,2017,#REF!,AG,WCI,2
GESCO,JAG LOKESH,CNR,"80,000",CPP,ruwais,milford haven,19-May-2017,RNR,RNR,,FXD,5,2017,#REF!,AG,UKC,2
ST SHIPPING,SCF PLYMOUTH,OTI,"60,000",UMS,WCI,SOHAR,19-May-2017,$,"225,000.0",BSS SOHAR,FXD ,5,2017,#REF!,WCI,AG,2
STRAITS,MARITINA,SHELL,"60,000",JET,ruwais,portbury,20-May-2017,$,"1,125,000.0",$1.115M (UAE) - PVT HOWE ROB,FXD,5,2017,#REF!,AG,UKC,2
BP,AMFITRITI,HANWAH TOTAL,"75,000",COND,DAMPIER,SKOREA,20-May-2017,WS,105.0,BSS SKOREA,FXD,5,2017,#REF!,OZ,NASIA,2
PRIME,FLAGSHIP VIOLET o/o,BP,"60,000",GASOIL,vadinar,singapore,20-May-2017,$,"260,000.0","BSS AG, WS 120 BSS SING, $510 BSS JEDDAH",FXD,5,2017,#REF!,WCI,SEA,2
VITOL,JO PROVEL,VITOL,"60,000",ALKY?,sikka,new york,20-May-2017,OP,OP,,FXD ,5,2017,#REF!,WCI,USAC,2
RELIANCE,STI ROSE,RELIANCE,"100,000",ULSD,SIKKA,MED,20-May-2017,OP,OP,,FXD,5,2017,#REF!,WCI,MED,2
ELETSON,ALONISSOS,MARUBENI,"75,000",NAP,ras laffan+messaieed,chiba+muroran+nagoya,20-May-2017,WS,100.0,BSS JAPAN,FXD,5,2017,#REF!,AG,NASIA,2
EIGER,HAFNIA ARCTIC,TITAN,"55,000",NAP,ruwais,pasir gudang,20-May-2017,WS,129.0,BSS PASIR GUDANG,FXD,5,2017,#REF!,AG,SEA,2
PRIME,LAKE STURGEON,TOTAL,"55,000",NAP,jeddah,kawasaki,20-May-2017,WS,117.5,BSS JAPAN,FXD,5,2017,#REF!,RSEA,NASIA,2
PRODUCT SHIPPING,LORELEI,HANWAH TOTAL,"55,000",NAP,ras laffan,daesan,20-May-2017,WS,111.0,BSS JAPAN,FXD,5,2017,#REF!,AG,NASIA,2
NAVIG8,NAVIG8 STEADFAST,COSMO,"75,000",NAP,mina al ahmadi,chiba,20-May-2017,COA,COA,,FXD,5,2017,#REF!,AG,NASIA,2
CHINA SHIPPING,SHAN YING ZUO,PETROCHINA,"55,000",NAP,kochi,onsan+daesan,20-May-2017,RNR,RNR,,FXD,5,2017,#REF!,WCI,NASIA,2
ADNATCO,LIWA-V,ADNATCO,"80,000",COND,ras laffan,ruwais,21-May-2017,OP,OP,,FXD,5,2017,#REF!,AG,AG,3
ST SHIPPING,SCF PIONEER,ATC,"60,000",GO,JUBAIL,RAS TANURA,21-May-2017,$,"175,000.0",P+C OURS,FXD,5,2017,#REF!,AG,AG,3
SKS,SKS DOYLES,HANWAH,"75,000",COND,DAMPIER,JAPAN-OPTIONS,21-May-2017,WS,86.5,BSS JAPAN,FXD,5,2017,#REF!,OZ,NASIA,3
HEIDMAR,NEW CHALLENGE,ITOCHU,"55,000",NAP,sikka,daesan,21-May-2017,WS,115.0,BSS JAPAN,FXD ,5,2017,#REF!,WCI,NASIA,3
SKS,SKS DEMINI ,YNCC,"75,000",NAP,ruwais,yosu,21-May-2017,WS,90.0,BSS JAPAN ,FXD ,5,2017,#REF!,AG,NASIA,3
ST SHIPPING,ALPINE CONFIDENCE,ST SHIPPING,"80,000",ULSD,yanbu,dunkirk,22-May-2017,OP,OP,,FXD,5,2017,#REF!,RSEA,UKC,3
BP,BRITISH REASON,BP,"90,000",ULSD,sikka,singapore,22-May-2017,OP,OP,,FXD,5,2017,#REF!,WCI,SEA,3
STATOIL,LYRIC MAGNOLIA,VITOL,"90,000",JET,yosu,rotterdam,22-May-2017,$,"1,350,000.0","BSS UKC, $395 BSS SING",FXD,5,2017,#REF!,NASIA,UKC,3
NAVIG8,NAVIG8 PRESTIGE,PETROCHINA,"60,000",JET,osaka,hong kong,22-May-2017,$,"325,000.0",BSS HK,FXD,5,2017,#REF!,NASIA,SCHINA,3
HEIDMAR,PHOENIX HOPE ,WINSON,"90,000",GO,SKOREA,TAIWAN,22-May-2017,$,"310,000.0",BSS TAIWAN,FXD,5,2017,#REF!,NASIA,TAIWAN,3
NAVIG8,KING PHILIPPOS ,SOCAR/UML,"75,000",NAP,ras laffan,daesan,22-May-2017,WS,105.0,BSS JAPAN (EX D/D),FXD,5,2017,#REF!,AG,NASIA,3
ARGYLL,PETALI LADY,CNR,"55,000",NAP,ras tanura,map ta phut,22-May-2017,RNR,RNR,,FXD,5,2017,#REF!,AG,SEA,3
PRIME,FLAGSHIP SAGE,CHEVRON,"60,000",COND,malampaya,incheon,23-May-2017,RNR,RNR,,FXD,5,2017,#REF!,SEA,NASIA,3
STRAITS,FPMC P EAGLE,CNR,"60,000",CPP,bahrain + jebel ali,maputo,23-May-2017,RNR,RNR,,FXD,5,2017,#REF!,WCI,EAFR,3
TRAFIGURA,FREIGHT MARGIE,CNR,"60,000",CPP,yangpu,pengerang,23-May-2017,RNR,RNR,,FXD,5,2017,#REF!,SCHINA,SEA,3
FORMOSA,FS DILIGENCE,CNR,"80,000",CPP,singapore,taichung,23-May-2017,RNR,RNR,,FXD,5,2017,#REF!,SEA,TAIWAN,3
GESCO,JAG APARNA,IOC,"60,000",CPP,vadinar,kamarajar + chennai,23-May-2017,$,"570,000.0",BSS 1:2,FXD ,5,2017,#REF!,WCI,SEA,3
SKS,SKS DEE,SHELL,"90,000",JET,SKOREA,SING-UKC-OPTIONS,24-May-2017,$,"415,000.0","BSS SING, $1.625 BSS UKC",FXD,5,2017,#REF!,NASIA,TBN,3
BW,BW SEINE,CNR,"60,000",CPP,ruwais ,hamriyah,24-May-2017,RNR,RNR,,FXD,5,2017,#REF!,AG,AG,3
STRAITS,JUSTICE VICTORIA ,ENOC,"60,000",UMS,yanbu,jebel ali,24-May-2017,RNR,RNR,,FXD,5,2017,#REF!,RSEA,AG,3
HEIDMAR,PLOUTOS,TOTAL,"60,000",UMS,SIKKA,OPTIONS ,24-May-2017,$,"225,000.0","BSS AG, WS 120 BSS SING",FXD,5,2017,#REF!,WCI,TBN,3
TRAFIGURA,SAINT GEORGE,RELIANCE,"90,000",ULSD,SIKKA,EMED,24-May-2017,$,"1,200,000.0",BSS EMED,FXD,5,2017,#REF!,WCI,MED,3
SCORPIO,STI CONDOTTI,ATC,"80,000",UMS,GUANZHOU,AG,24-May-2017,$,"575,000.0",BSS AG,FXD,5,2017,#REF!,SCHINA,AG,3
PRIME,BROOK TROUT,ATC,"55,000",NAP,ras tanura,incheon+ulsan,24-May-2017,WS,112.5,BSS JAPAN,FXD,5,2017,#REF!,AG,NASIA,3
MAERSK,GLORY CRESCENT,CHEVRON,"75,000",NAP,ras laffan,yosu,24-May-2017,WS,PLATTS,,FXD,5,2017,#REF!,AG,NASIA,3
SOVCOMFLOT,ANATOLY KALODKIN,SHELL,"90,000",CPP,AG,UKC-OPTS,25-May-2017,$,"1,550,000.0",BSS UKC - POSS PROBLEMS CLEARING ,FXD ,5,2017,#REF!,AG,UKC,3
BW,BW TAGUS,SHELL,"60,000",JET,mina abdullah,avonmouth,25-May-2017,$,"1,075,000.0",BSS UKC,FXD,5,2017,#REF!,AG,UKC,3
ZODIAC,FULHAM ROAD,BP,"60,000",COND,ras laffan,singapore,25-May-2017,WS,110.0,BSS SING,FXD ,5,2017,#REF!,AG,SEA,3
